iteration,acquisition,mean,deviation,incumbent,observed,best,fallback_used,evaluations,distinct_observations
0,0.0010959512982972918,0.2541561471146305,0.21968347732818813,0.735866645971934,0.6859333117802938,0.735866645971934,False,21,21
1,0.03253062659056865,0.5987866982993918,0.21016035002899916,0.735866645971934,0.7493333220481873,0.7493333220481873,False,22,22
2,0.04336984616181923,0.6714553112894326,0.19062735074119935,0.7493333220481873,0.7005333105723063,0.7493333220481873,False,23,23
3,0.039241986170708926,0.6641308692546692,0.185966735334806,0.7493333220481873,0.5706666509310404,0.7493333220481873,False,24,24
4,0.047122478343756886,0.6839410351609828,0.18886681730402494,0.7493333220481873,0.4243333339691162,0.7493333220481873,False,25,25
5,0.030988641796637302,0.6458003638492724,0.1781747386911631,0.7493333220481873,0.7191999753316244,0.7493333220481873,False,26,26
6,0.03393344782661351,0.6609694545391249,0.17381682037495355,0.7493333220481873,0.7476666569709778,0.7493333220481873,False,27,27
7,0.024974043063767045,0.6349332129394896,0.1685889662660593,0.7493333220481873,0.7068666418393453,0.7493333220481873,False,28,28
8,0.03362984336132177,0.673135659280209,0.16222371977472838,0.7493333220481873,0.8451333045959473,0.8451333045959473,False,29,29
9,0.010951950884384595,0.6503490139294112,0.171463365297424,0.8451333045959473,0.8057999809583029,0.8451333045959473,False,30,30
10,0.023156347312008115,0.7307947204437308,0.1627584602431867,0.8451333045959473,0.8433999816576639,0.8451333045959473,False,31,31
11,0.028102071884305947,0.7585036217802985,0.1554883775239585,0.8451333045959473,0.8203999797503153,0.8451333045959473,False,32,32
12,0.026625560007923356,0.7365573183791551,0.1691157549213438,0.8451333045959473,0.8035999735196432,0.8451333045959473,False,33,33
13,0.02427034035079641,0.7383820478058225,0.1603522723098057,0.8451333045959473,0.8001333276430765,0.8451333045959473,False,34,34
14,0.04531302562876394,0.8108898021846878,0.15267659429607275,0.8451333045959473,0.8413333098093668,0.8451333045959473,False,35,35
15,0.027890199437496984,0.7835640865708411,0.13308244541227646,0.8451333045959473,0.8025999863942465,0.8451333045959473,False,36,36
16,0.030033937697734405,0.7894000951871736,0.1336827634673727,0.8451333045959473,0.8367999792098999,0.8451333045959473,False,37,37
17,0.02245318872560503,0.758382965125205,0.13873533437466548,0.8451333045959473,0.8343999783198038,0.8451333045959473,False,38,38
18,0.0222737860672788,0.7548181177496032,0.14106172141850104,0.8451333045959473,0.7996666431427002,0.8451333045959473,False,39,39
19,0.0371873476529008,0.8052091594653914,0.137496450925149,0.8451333045959473,0.8599333167076111,0.8599333167076111,False,40,40
20,0.03493743813229698,0.8289811555634073,0.12247756613109777,0.8599333167076111,0.8624666531880697,0.8624666531880697,False,41,41
21,0.030334104158101564,0.819038782946566,0.12286925423895409,0.8624666531880697,0.8035333156585693,0.8624666531880697,False,42,42
22,0.03746559129188645,0.8458274996570347,0.11354945093601813,0.8624666531880697,0.8463333249092102,0.8624666531880697,False,43,43
23,0.029903657005869517,0.8111545951423417,0.12921079890369855,0.8624666531880697,0.8465333183606466,0.8624666531880697,False,44,44
24,0.017208073506448224,0.7444362509029593,0.14571130509850494,0.8624666531880697,0.8595333298047384,0.8624666531880697,False,45,45
25,0.03401834015215223,0.8222190390403356,0.12951025553416642,0.8624666531880697,0.8152666489283243,0.8624666531880697,False,46,46
26,0.028386562573730074,0.8198274456957033,0.1169039010630844,0.8624666531880697,0.8017999728520712,0.8624666531880697,False,47,47
27,0.03971663153751709,0.8527771125911765,0.1112772746449054,0.8624666531880697,0.8501999775568644,0.8624666531880697,False,48,48
28,0.021846647652442795,0.7721965367887685,0.13970888399139006,0.8624666531880697,0.8487333059310913,0.8624666531880697,False,49,49
29,0.02899420626711363,0.824574975924097,0.11392384120086467,0.8624666531880697,0.8362666567166647,0.8624666531880697,False,50,50
