bo_iteration,n_train,log_marginal_likelihood,calibration_root_mean_square,calibration_standard_deviation,calibration_maximum_absolute,calibration_outside_two,fit_size,fit_rank_correlation,fit_prediction_spread,fit_objective_spread,fit_residual_root_mean_square,kernel_hyperparameters
19,39,-32.498562835104075,1.0694935981811386,1.0685700899641553,3.0843121067716908,3,19,0.8719298245614034,0.945156260166653,0.7407999833424885,0.18198252876751964,"{""k1__k1__k1__constant_value"": 0.517466922787822, ""k1__k2__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k2__k1__constant_value"": 0.18415349393908517, ""k2__noise_level"": 0.12235277605770631}"
20,40,-32.55067429544662,1.0737523629155505,1.0729447181122784,3.169113993338788,3,20,0.8285714285714285,0.945156346630092,0.7663333217302958,0.17909251882003677,"{""k1__k1__k1__constant_value"": 0.5159742880479153, ""k1__k2__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k2__k1__constant_value"": 0.23807688145567926, ""k2__noise_level"": 0.1146287980711652}"
21,41,-32.46493690289587,1.0834494915857427,1.082690909350154,3.252331078134413,4,20,0.8616541353383457,0.9562869534054392,0.7663333217302958,0.17720608010655622,"{""k1__k1__k1__constant_value"": 0.5162200064648977, ""k1__k2__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k2__k1__constant_value"": 0.2876201678285067, ""k2__noise_level"": 0.10717847949707111}"
22,42,-32.57433565205342,1.090142089863896,1.0894196976305068,3.314334400642876,4,21,0.864935064935065,0.9562869570202633,0.7663333217302958,0.17338947331289267,"{""k1__k1__k1__constant_value"": 0.5142797936287182, ""k1__k2__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k2__k1__constant_value"": 0.3158076207614332, ""k2__noise_level"": 0.10306956405839582}"
23,43,-32.482930301323584,1.1012316366227612,1.100529479154585,3.3940483429133836,4,21,0.8545454545454545,0.9757796731263755,0.7663333217302958,0.1738687699959085,"{""k1__k1__k1__constant_value"": 0.5178784589857249, ""k1__k2__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k2__k1__constant_value"": 0.33084891117994664, ""k2__noise_level"": 0.0973967451784064}"
24,44,-32.582322431860774,1.1064276744517072,1.1057431219479381,3.4569984045549966,4,22,0.8588368153585546,0.9757796727198065,0.7663333217302958,0.1699571791643017,"{""k1__k1__k1__constant_value"": 0.5204074091297688, ""k1__k2__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k2__k1__constant_value"": 0.3596967096355949, ""k2__noise_level"": 0.09253377939025816}"
25,45,-33.06272147272246,1.107435890391596,1.1068998063757123,3.494608347528274,4,22,0.8622247317899493,0.9849584282009242,0.7663333217302958,0.16919057190396905,"{""k1__k1__k1__constant_value"": 0.5237674480729688, ""k1__k2__k1__k1__constant_value"": 0.02671753377143301, ""k1__k2__k2__k1__constant_value"": 0.35368496989772363, ""k2__noise_level"": 0.08989771207592126}"
26,46,-33.26190313201452,1.1090421247197113,1.108536608559505,3.5346972008584543,4,23,0.8359683794466403,0.9849584253923217,0.7663333217302958,0.16583018233769894,"{""k1__k1__k1__constant_value"": 0.5187606389007149, ""k1__k2__k1__k1__constant_value"": 0.04930239683884558, ""k1__k2__k2__k1__constant_value"": 0.3660006841575018, ""k2__noise_level"": 0.08725902249879534}"
27,47,-33.41809503754487,1.115502522660028,1.1149874670532935,3.6170800911189356,4,23,0.8310276679841897,1.007111277681921,0.7663333217302958,0.1627607433695739,"{""k1__k1__k1__constant_value"": 0.5251745674418918, ""k1__k2__k1__k1__constant_value"": 0.08274693521748122, ""k1__k2__k2__k1__constant_value"": 0.32166513358779414, ""k2__noise_level"": 0.08404185384715149}"
28,48,-33.3948784464591,1.1233985530718151,1.122896210905274,3.6857223932501366,5,24,0.8208695652173912,1.0071112760536547,0.7663333217302958,0.15942327572208873,"{""k1__k1__k1__constant_value"": 0.5263061523788761, ""k1__k2__k1__k1__constant_value"": 0.0946804443087985, ""k1__k2__k2__k1__constant_value"": 0.339654073400316, ""k2__noise_level"": 0.08031987122719698}"
29,49,-33.763522859020625,1.126046281674935,1.1256084648458633,3.718030606746303,5,24,0.7913043478260868,0.9966559287049604,0.7663333217302958,0.16204634304943624,"{""k1__k1__k1__constant_value"": 0.534595723462424, ""k1__k2__k1__k1__constant_value"": 0.06690370245578509, ""k1__k2__k2__k1__constant_value"": 0.4354838506373963, ""k2__noise_level"": 0.0764382900046035}"
